wine_name,sweetness,country_name,vintage_count,ratings_count
Clos Sainte Hune Riesling Alsace,2.3837361,France,4,4106
Victorino,1.8342377,Espagne,1,9294
Giorgio Bartholomäus,1.8178593,Italie,2,554
The Laird,2.4446697,Australie,1,627
Perpetual,1.7400707,Espagne,1,3809
Brunello di Montalcino Riserva,1.5780381,Italie,1,714
Clos de Tart Grand Cru Monopole,1.7857957,France,2,4948
Vigna Madonna Assunta La Villa Barolo Riserva,1.6877671,Italie,1,470
Chambertin-Clos de Bèze Vieilles Vignes Grand Cru,1.8744577,France,1,358
Bibbona,1.7836055,Italie,1,5981
Musigny Grand Cru (Cuveé Vieilles Vignes),1.8582504,France,3,3533
Recioto della Valpolicella Classico,,Italie,2,1045
Amarone della Valpolicella Classico Riserva,3.4217513,Italie,1,587
Rocche dell'Annunziata Barolo Riserva,1.6368265,Italie,1,1609
Aquilon Garnacha,2.0014906,Espagne,1,1343
Charmes-Chambertin Grand Cru,2.112612,France,1,331
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.9093579,France,1,6879
Réserve Côtes-du-Rhône,1.931208,France,1,4027
Dom Ruinart Blanc de Blancs Brut Champagne,,France,1,18466
Echezeaux Grand Cru,2.1487,France,1,1311
Brunello di Montalcino Riserva,1.8136852,Italie,1,1506
Veneto Alzero Cabernet,2.6875129,Italie,5,2600
Pomerol,1.9155464,France,2,2164
Meursault 1er Cru 'Perrières',1.7233584,France,1,342
Chablis Grand Cru 'Valmur',1.6148579,France,1,1653
Pochi Filagn Barbera d'Alba,1.8643643,Italie,1,410
Barolo Bussia,1.6963162,Italie,2,4525
Barolo Riserva,1.5603285,Italie,1,12663
Grands-Échézeaux Grande Cuvée Vieilles Vignes,2.2055523,France,1,449
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',,France,1,1278
Vintage Port,4.737983,Portugal,1,2614
