Country,Reviews,Rating,Tannin,Acidity,Vintage Rating,Keywords_count
Châteauneuf-du-Pape,13917,4.2,2.8783433,3.0795522,4.566666666666666,9
Châteauneuf-du-Pape Amiral G,536,4.5,3.2330108,3.0538173,4.6,7
Châteauneuf-du-Pape Chaupin,4483,4.2,2.9245813,3.0871341,4.4,9
Châteauneuf-du-Pape Réservé Blanc,668,4.4,,3.2144742,4.6,1
Ciliegio Amarone della Valpolicella,76,4.5,2.0613334,2.2506666,0.0,2
Cinque Autoctoni Collection Limited Release,4281,4.4,2.8115416,2.9294932,4.4,8
Cirsion Rioja,3474,4.6,3.8563433,3.711729,2.25,9
Clio,24553,4.5,2.9357808,2.9907131,4.5,9
Clos Apalta,23256,4.6,3.546138,3.067916,4.6,9
Clos Saint Denis Grand Cru,474,4.4,2.5575855,4.1495495,0.0,4
Clos Saint-Denis Grand Cru,40,4.6,2.1033332,4.3766665,0.0,1
Clos Sainte Hune Riesling Alsace,4106,4.5,,4.4354753,4.525,4
Clos Vougeot Grand Cru,226,4.4,2.9310076,4.3224115,1.0975609756097562,7
Clos de Bèze Grand Cru,635,4.5,2.6774049,4.059696,0.0,9
Clos de L'Obac,2588,4.4,3.325913,3.516844,4.6,9
Clos de Tart Grand Cru,214,4.6,2.92445,4.0906606,0.0,3
Clos de Tart Grand Cru Monopole,4948,4.5,2.7014532,4.171164,4.7,8
Clos de Vougeot,608,4.4,2.907331,4.0593004,0.0,5
Clos de Vougeot Grand Cru,467,4.3,2.5358272,4.235216,4.5,6
Clos de la Coulée de Serrant,8365,4.3,,4.7550335,4.4,7
Clos de la Roche Grand Cru,429,4.4,2.7189612,4.029349,0.0,7
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,2678,4.4,2.6762874,4.208333,3.2142857142857144,8
Clos des Goisses Champagne,4662,4.5,,4.4161983,0.0,8
Clos des Lambrays Grand Cru,6431,4.4,2.650363,4.186641,4.45,9
Clos des Porrets Nuits-Saint-Georges 1er Cru,3063,4.1,2.77446,4.1547327,4.4,9
Clos du Mesnil,2471,4.7,,4.546456,4.766666666666667,2
Colheita Port,8039,4.2,,3.0321395,4.5,5
Colheita Porto,741,4.4,,3.048492,4.5,6
Collection,2184,4.7,,4.5422707,4.666666666666667,3
Collina Rionda di Serralunga Barolo,156,4.5,3.8716595,4.2120852,0.0,3
Colore Toscana,1415,4.4,3.0629816,3.3819811,4.4,9
Comtes de Champagne Blanc de Blancs,27449,4.5,,4.404773,4.5,7
Conde de Superunda,3237,4.2,,,4.5,8
Contador Rioja,2240,4.6,3.7109313,3.5871537,4.6,8
Conteisa Langhe,2295,4.5,3.5828598,3.4485388,4.5,9
Continuum Estate,6949,4.6,3.5678773,3.8341439,4.625,9
Corte di Cama Sforzato di Valtellina,3211,4.3,4.2303834,4.5061083,4.4,7
Corton Grand Cru 'Clos Rognet',543,4.4,2.3959322,3.771881,0.0,5
Corton-Bressandes Grand Cru,861,4.4,2.3176732,3.7803164,0.0,7
Corton-Charlemagne Grand Cru,5755,4.4,,3.1831756,3.549425287356322,8
Corton-Charlemagne Grand Cru Blanc,2453,4.4,,3.2267067,0.0,3
Cos d'Estournel,43704,4.4,4.2301917,4.2013316,3.7,9
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,826,4.3,2.7886288,2.5906193,4.4,8
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,5016,4.5,2.2416334,1.8888605,4.4,8
Costa Russi (Barbaresco) Langhe,2876,4.6,3.962805,4.6500616,4.05,9
Costasera Amarone della Valpolicella Classico,93397,4.3,2.241271,2.2137997,4.4,9
Coteau de Vernon Condrieu,2015,4.5,,2.4052055,0.0,6
Cream Tradición Vos 20 Years,623,4.4,,3.5464005,4.4,1
Cresasso Corvina Veronese,2333,4.2,2.8751512,2.2652118,4.4,7
Crescendo,1347,4.3,3.480235,3.6205332,4.4,9
Crichet Pajè Barbaresco,584,4.5,4.153728,4.666076,0.0,6
Cristal Brut Champagne (Millésimé),42456,4.6,,4.416872,4.642857142857143,6
Cristal Rosé Brut Champagne (Millésimé),5883,4.6,,4.497997,4.7,6
Croce Del Gal Riserva Amarone della Valpolicella Classico,188,4.6,2.5947554,2.4575524,0.0,1
Cuvée Annamaria Clementi (Extra Brut),7928,4.5,,3.8442688,4.466666666666667,4
Cuvée Impériale Châteauneuf-du-Pape,1881,4.3,2.8309696,3.1300437,4.4,9
Cuvée Kermesse Rosso,1153,4.2,3.090991,2.518945,4.4,4
Cuvée N Viñas Viejas,263,4.5,3.4799144,2.9813602,0.0,1
Cuvée Nicolas François Billecart Brut Champagne,6228,4.5,,4.494786,4.4,7
Cuvée Risleus Brut Champagne Premier Cru,415,4.4,,4.3493085,4.4,3
Cuvée des Cadettes Châteauneuf-du-Pape,3283,4.4,2.8770597,3.0606353,4.5,9
Cuvée des Enchanteleurs Brut Champagne,1732,4.5,,4.4428163,4.65,2
Cà Bertoldi Amarone della Valpolicella Classico,3708,4.3,2.1124525,2.2030034,4.5,8
Côte Rôtie La Brocarde,278,4.4,3.5617976,3.8583148,0.0,7
Côte à Côte Estate,1133,4.4,3.468108,3.6084716,0.0,9
Côte-Rôtie,7177,4.4,4.059664,3.9255815,4.4,9
Côte-Rôtie La Landonne,4068,4.6,4.1336656,3.8996758,4.6,9
Côte-Rôtie La Mouline,4380,4.6,3.8802671,3.8720932,3.45,9
Côte-Rôtie La Turque,4891,4.6,3.9625063,3.877427,4.625,9
Côtes de Bourg,8249,4.4,3.5007095,3.748591,2.25,9
Côtes du Rhône,8196,4.3,2.9252746,3.3747108,4.4,9
Cěrǎsum Riserva Amarone della Valpolicella,460,4.4,2.2319505,2.254099,0.0,1
Dagromis Barolo,20685,4.3,4.2813616,4.5853696,4.4,9
Dalmau Rioja,7868,4.4,3.8692777,3.778889,4.5,9
Darmagi Langhe,3184,4.5,3.1359265,2.4285307,3.425,9
De Buris Amarone della Valpolicella Classico Riserva,574,4.7,2.291238,2.5711343,4.6,6
Delicado Cosecha Pedro Ximénez,870,4.4,,3.0970087,4.5,1
Denarius Graves,129,4.5,4.151493,4.5049257,2.3,2
Dieci Brunello di Montalcino,43,4.6,3.9116054,3.931605,4.6,2
Dogs of the Barossa Shiraz,264,4.4,3.2874637,3.048867,0.0,7
Dolç de L'Obac,440,4.4,,,0.0,7
Dom Ruinart Blanc de Blancs Brut Champagne,18466,4.5,,4.2583113,4.6,8
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,875,4.3,3.0592542,3.08676,4.5,9
Domaine des Tourettes Hermitage Rouge,3806,4.3,4.057726,3.5418537,4.4,9
Dominus (Christian Moueix),22117,4.5,3.5360577,3.8267472,4.7,9
Domus Aurea Cabernet Sauvignon,9603,4.4,3.304302,3.0334966,4.4,9
Don PX Convento Selección,1224,4.7,,2.2442873,2.35,9
Don PX Selección,326,4.5,,2.3066726,4.55,6
Dona Ermelinda Grande Reserva,933,4.4,3.301781,2.8185594,4.4,3
Douro,6214,4.4,3.5653784,3.0951936,4.5,9
Douro Pintas Tinto,4167,4.5,3.659873,3.1070662,4.55,9
Douro Quinta da Manoella VV Tinto,2548,4.3,3.704223,3.239602,4.533333333333333,9
Duemani Cabernet Franc,2339,4.4,3.0741181,3.2126977,4.5,9
Duna Mirante Primitivo di Manduria,96,4.5,2.2,1.875,0.0,1
EABA,151,4.6,3.7678387,3.2767448,0.0,6
Echezeaux Grand Cru,1311,4.5,2.6843195,4.1542106,0.9199999999999999,8
Eight Years In The Desert,27195,4.4,2.5545352,1.9226278,4.4,9
El Carretil,748,4.5,3.8857245,3.374203,2.3,8
El Escolladero,161,4.4,3.50615,3.8649592,0.0,5
Ermitage Ex-Voto,1804,4.4,4.097775,3.5583098,3.0,9
Ermitage l'Ermite Blanc,296,4.5,,2.3164318,2.35,6
Es Riserva,371,4.5,2.7557464,2.3256347,0.0,3
Esporão Private Selection Tinto,12566,4.3,3.1646738,2.9711084,4.4,9
Evenstad Reserve Pinot Noir,11531,4.4,2.1460867,3.848453,4.4,9
FAY Cabernet Sauvignon,10840,4.5,3.2626133,3.3367584,4.5,9
Faith,1048,4.5,3.4755833,2.907444,0.0,8
Falletto Barbaresco Asili,3450,4.4,4.036474,4.7242866,4.4,9
Falletto Barbaresco Rabaja,448,4.4,4.1209636,4.74757,4.5,8
Falletto Barolo,1760,4.4,4.298659,4.714246,4.4,9
Falletto Barolo Le Rocche del Falletto,1883,4.5,4.315218,4.6375737,4.566666666666666,9
Falletto Barolo Le Rocche del Falletto Riserva,622,4.6,4.443436,4.675603,3.3,6
Fanòi Primitivo,695,4.4,2.1304173,1.7209091,4.5,6
Ferro,499,4.5,3.1704433,3.0308511,4.5,8
Fieramonte Amarone della Valpolicella Riserva,315,4.7,2.4112194,2.3013904,2.35,4
Finca Altamira Malbec,8093,4.5,2.6432955,2.8588457,4.6,9
Finca Bella Vista Malbec,7663,4.5,2.6162858,2.8418646,4.5,8
Finca Garbet,573,4.6,3.1087425,3.0190568,4.5,6
Finn Pinot Noir,331,4.5,2.0485728,3.3614087,0.0,5
Fino La Barajuela,222,4.4,,,0.0,2
Flaccianello della Pieve,21518,4.5,3.1631904,3.19551,4.4799999999999995,9
Flor de Pingus,32932,4.5,3.5276117,3.7273152,4.5,9
Fort Ross Seaview Home Field Pinot Noir,483,4.4,2.0731697,3.4607437,0.0,6
Fossati Barolo,116,4.5,4.80064,4.790533,0.0,3
Fratini Bolgheri Superiore,153,4.8,3.7667968,3.3064845,0.0,1
Freienfeld Cabernet Sauvignon Riserva,173,4.4,3.1995988,2.88696,0.0,5
Fusion V,12877,4.4,3.4252377,3.678904,4.5,9
Félix Callejo (Viñedos de la Familia),1341,4.3,3.7325103,3.7628725,4.5,8
Gabbro Toscana,921,4.4,3.1783893,3.079783,4.5,8
Gaia & Rey Langhe,5909,4.5,,3.221216,4.6,5
Galatrona,7971,4.3,3.055552,3.112219,4.425000000000001,9
Gallina Barbaresco,1017,4.4,3.9500387,4.612218,3.2142857142857144,7
Gardarèm,1308,4.4,3.2220683,3.4020553,0.0,7
Gaudium,7414,4.3,3.9184062,3.7049477,4.4,8
Georges De Latour Private Reserve Cabernet Sauvignon,12652,4.4,3.3315527,3.3221471,4.5,9
Gevrey Chambertin 1er Cru 'Aux Combottes',1002,4.4,2.8043034,4.1931877,0.0,8
Giallo d'Arles Greco di Tufo,3274,4.3,,2.8980155,4.4,2
Ginés Liébana Pedro Ximénez,120,4.6,,2.6156108,2.3,1
